GOLD-1772175983-BUY,1772175983,GOLD,sideway_scalp,M5,BUY,5188.24,5182.049053921474,5197.5264191177885,1.5000000000000735,0.8357345088223928,,3.8693412990784783,14.071224272417055,3.567755707731734,44.792797050735906,WATCH_PROXIMITY,2.10.5
GOLD-1772176014-BUY,1772176014,GOLD,sideway_scalp,M5,BUY,5187.02,5180.829053921475,5196.306419117789,1.5000000000000735,0.9357032682404444,,3.8693412990784783,14.071224272417055,3.666980284515131,42.19224665403745,WATCH_PROXIMITY,2.10.5
GOLD-1772176044-BUY,1772176044,GOLD,sideway_scalp,M5,BUY,5188.11,5181.919053921474,5197.396419117788,1.5000000000000735,0.8473928570140701,,3.8693412990784783,14.071224272417055,3.578209517873942,44.50631928599225,WATCH_PROXIMITY,2.10.5
GOLD-1772176074-BUY,1772176074,GOLD,sideway_scalp,M5,BUY,5188.73,5182.539053921474,5198.016419117788,1.5000000000000735,0.7936880961102348,,3.8693412990784783,14.071224272417055,3.532467945934869,45.7922237532167,WATCH_PROXIMITY,2.10.5
GOLD-1772176104-NONE,1772176104,GOLD,sideway_scalp,M5,NONE,0.0,0.0,0.0,0.0,0.8124360415668691,rr_too_low,3.872198441935619,14.071224272417055,3.5449794818792277,45.35696986930548,WATCH_PROXIMITY,2.10.5
GOLD-1772176134-NONE,1772176134,GOLD,sideway_scalp,M5,NONE,0.0,0.0,0.0,0.0,0.7429150150485031,rr_too_low,3.921484156221369,14.071224272417055,3.4456521483722318,47.019883684361865,WATCH_PROXIMITY,2.10.5
GOLD-1772176165-NONE,1772176165,GOLD,sideway_scalp,M5,NONE,0.0,0.0,0.0,0.0,0.8507736971038322,rr_too_low,3.921484156221369,14.071224272417055,3.531377201095275,44.48574277802432,WATCH_PROXIMITY,2.10.5
GOLD-1772176195-NONE,1772176195,GOLD,sideway_scalp,M5,NONE,0.0,0.0,0.0,0.0,0.9545031189897508,rr_too_low,3.921484156221369,14.071224272417055,3.6377485546653707,41.69699800760965,WATCH_PROXIMITY,2.10.5
GOLD-1772176225-BUY,1772176225,GOLD,sideway_scalp,M5,BUY,5188.26,5182.325223539328,5197.162164691008,1.5,0.7527089015703642,,3.7092352879198294,14.071224272417055,3.8560916983573374,44.89907515556483,WATCH_PROXIMITY,2.10.5
GOLD-1772176255-NONE,1772176255,GOLD,sideway_scalp,M5,NONE,0.0,0.0,0.0,0.0,0.7943013390203257,rr_too_low,3.737092430776996,14.071224272417055,3.8588804794418667,43.89848955677264,WATCH_PROXIMITY,2.10.5
GOLD-1772176584-NONE,1772176584,GOLD,sideway_scalp,M5,NONE,0.0,0.0,0.0,0.0,0.8911229659406139,no_confirmation,4.036279706129669,14.542933533724865,4.70655318985705,34.79518002295332,WATCH_PROXIMITY,2.10.5
GOLD-1772176837-NONE,1772176837,GOLD,sideway_scalp,M5,NONE,0.0,0.0,0.0,0.0,0.9014288030651435,rr_too_low,4.264402584263186,15.02591017888864,5.275678458359423,37.64259341663359,WATCH_PROXIMITY,2.10.5
GOLD-1772181376-NONE,1772181376,GOLD,sideway_scalp,M5,NONE,0.0,0.0,0.0,0.0,0.5614734747104972,no_mean_reversion_trigger,4.282744781995725,18.53987277773391,2.609549591452126,47.44678097412187,NONE,2.10.5
